Word,Conc.M,Conc.SD
暗笑,3.333333,0.919866
黯然,1.8148150000000003,0.833761
昂首,3.777778,1.154701
白人,4.37037,0.883531
绑架,4.222222,0.891556
榜样,3.222222,1.250641
迸发,2.192308,0.980581
裨益,1.875,0.946963
波折,2.461538,1.207668
车费,4.592593,0.572394
充裕,2.846154,1.120439
打字,4.555556,0.57735
歹毒,2.925926,1.268734
待遇,3.296296,1.170628
抵抗,3.148148,1.09908
地方,3.5,1.174734
垫脚,4.115385,0.90893
短缺,2.666667,0.960769
对抗,3.074074,1.035
发亮,4.0,0.645497
方言,4.0740739999999995,1.035
防身,3.185185,0.96225
非法,3.074074,1.206582
风俗,3.074074,1.035
隔离,3.037037,1.159625
耕作,3.962963,0.854017
公厕,4.777778,0.50637
公演,3.923077,0.934797
古物,3.851852,1.09908
挂号,4.148148,0.948833
怪物,3.074074,1.174273
光临,3.111111,1.012739
过渡,2.423077,1.101747
憾事,2.44,1.044031
行情,2.807692,1.020558
痕迹,3.481481,1.155934
欢迎,3.444444,1.050031
回答,3.62963,1.114525
毁灭,2.888889,1.086042
肌肤,4.5,0.648074
缉私,3.0,0.979796
建制,2.208333,1.062367
鉴定,2.961538,1.21592
介入,2.923077,1.092633
晶莹,2.653846,1.198075
精品,3.185185,1.272098
竞技,3.555556,1.012739
可爱,3.0,1.131371
哭泣,4.0740739999999995,0.828619
夸大,2.814815,1.241495
朗读,4.37037,0.791695
犁田,4.423077,0.643309
炼丹,3.538462,1.139501
笼统,1.5769229999999999,0.702742
螺丝,4.777778,0.423659
落后,2.576923,1.137474
面前,3.115385,1.142871
描绘,3.037037,1.159625
瞄准,3.851852,0.907393
灭口,3.592593,1.217161
民事,3.115385,1.142871
飘浮,2.592593,1.047314
苹果,4.740741,0.655896
潜艇,4.703704,0.541708
庆祝,3.192308,0.895287
求雨,3.0,0.957427
取景,3.230769,1.069867
人证,4.115385,0.588348
桑拿,4.37037,0.791695
扇贝,4.814815,0.483341
摄影,4.0,0.877058
身家,2.703704,1.203035
师资,3.037037,1.055443
施展,2.5,1.067708
石油,4.666667,0.5547
弑父,3.296296,1.137298
受训,3.037037,1.055443
属性,1.7407409999999999,0.764229
署长,3.958333,1.267629
水池,4.777778,0.50637
水质,3.076923,1.092633
丝绸,4.62963,0.687702
私刑,3.481481,0.848998
太监,4.296296,0.992852
倘佯,1.6666670000000003,0.916831
讨好,2.703704,0.953327
特区,3.68,1.281926
天资,2.222222,1.050031
铁门,4.703704,0.6688
听见,3.62963,1.181529
推测,2.5,1.140175
外贸,3.62963,1.005682
偎依,3.111111,1.395965
围棋,4.703704,0.608581
未婚,4.115385,0.863802
文艺,2.592593,1.152231
握手,4.555556,0.50637
无尽,1.6399999999999997,0.757188
无人,3.5,1.067708
溪水,4.777778,0.50637
鲜花,4.851852,0.362014
消沉,2.222222,1.012739
薪俸,3.64,1.254326
羞耻,2.653846,1.056118
秀发,4.555556,0.50637
序列,3.038462,1.112862
学历,4.111111,0.974022
雪崩,4.222222,1.012739
雪糕,4.884615,0.325813
引燃,3.259259,0.944319
永久,2.269231,1.218448
越轨,2.904762,1.091089
越过,3.222222,1.120897
晕倒,4.222222,0.891556
杂物,3.777778,1.050031
宅院,4.62963,0.629294
招手,4.296296,0.6688
中弹,4.0740739999999995,0.615563
重复,3.185185,1.039121
竹签,4.62963,0.564879
主席,4.16,0.898146
状元,4.148148,0.988538
祖先,3.692308,1.049542
鳟鱼,4.5,0.812404
罢工,3.666667,0.960769
办法,2.740741,1.059484
帮会,3.555556,1.050031
包含,2.0,0.748331
被窝,4.4814810000000005,0.70002
笨重,2.962963,1.091276
表露,2.24,0.830662
拨冗,1.8571429999999998,0.910259
菠萝,4.814815,0.483341
残缺,2.592593,0.888355
纯朴,2.407407,1.185141
辍学,3.814815,1.039121
醋意,2.36,0.95219
错误,3.148148,1.06351
搭乘,3.851852,0.907393
大权,2.703704,1.067521
胆识,2.074074,0.997147
地雷,4.259259,0.902671
叮嘱,3.185185,0.921414
盾牌,4.259259,0.712125
多余,2.538462,1.028816
发出,2.666667,0.868115
费用,3.740741,0.813
拂晓,3.269231,1.185165
搞鬼,2.384615,0.803837
哽咽,3.333333,1.074172
公子,3.923077,0.97665
贵重,3.037037,1.055443
还是,1.6818179999999998,0.994574
航线,3.925926,0.957799
耗材,3.37037,1.114525
恒心,2.37037,1.213645
侯门,2.913043,0.900154
厚道,2.407407,0.971092
即兴,2.074074,0.873804
技能,3.037037,0.979854
歼灭,2.888889,1.154701
将来,2.307692,1.192283
拮据,2.888889,1.2195
锦旗,4.5185189999999995,0.848998
韭菜,4.884615,0.325813
绝交,2.884615,1.032547
克服,2.481481,1.051386
离谱,2.37037,1.079464
理发,4.37037,0.687702
辽阔,2.461538,1.174079
霉菌,3.777778,1.012739
美观,2.407407,1.009922
迷雾,3.259259,1.40309
免责,2.695652,0.926125
名贵,2.740741,1.095185
摩托,4.807692,0.401918
男士,4.62963,0.564879
泥鳅,4.814815,0.622466
奴才,3.62963,0.883531
糯米,4.777778,0.423659
派驻,2.814815,0.921414
泡菜,4.5185189999999995,0.70002
坡道,4.222222,0.50637
扑救,2.925926,1.071517
朴素,2.333333,0.83205
期货,3.04,1.398809
气氛,1.9629630000000002,0.854017
气色,2.740741,1.059484
前任,3.64,0.860233
前夕,2.814815,1.241495
切片,3.5,1.029563
轻蔑,2.407407,0.930643
清除,3.038462,1.21592
